text,category,label
"Bastante trola la publicidad. Ésto se está llendo a la mierda, no se saben qué putas son, si mal nutridos, mujeres,maricones, travas. La puta madre",homophobic,0
Y que derechos no tiene el colectivo trans?,transphobic,2
Pero siempre me recuerda eso y que fui la primera persona en que se animo a contarselo porque sabia que iba a responderle algo así. Feliz dia del orgullo a todxs. #OrgulloLGTBI,non-anti-LGBT,1
PEDAZO DE GAY. — a,homophobic,0
🥺❤️😭 la más maricona,homophobic,0
 marica! sin ofender a mis amigos de la comunidad Lgbt+pero éste wey nunca se va a hacer responsable de nada! por que votaron por este cabron????,non-anti-LGBT,1
díganme por que un gay en twitter me acaba de decir puta,homophobic,0
"Es que eses (jjjjj) usuaries con bandera rosa-celeste y con avatar de monas chinas, son bots pro trans y no hay que hacerles caso, bloquéalo tú y no dejes de comentarnos lo que quieras, hermana. Aquí de hemisferio a hemisferio, todo es casa feminista.",transphobic,2
Al rato vámonos a la Barranca de Huentitan... A quién veré ahí.#gayguy #gaygdl #gaymexico #gaylatino #lgtb  #gayguadalara #followforfollow #likeforlike #Retwitt #gaytapatio #selfie #man #top #onlyfans #barrancadehuentitan #puentedearcediano #cruisinggdl,non-anti-LGBT,1
"Y una cosita, si no hay tanta ""constancia"" en el imaginario colectivo de la violencia LGTBI es porque no se denuncian o, como en el caso de Samuel, se intenta mirar para otro lado desde la opinión pública.",non-anti-LGBT,1
"De manos de sus parejas nena  ! Informate, sali del cascarón, no sabés que hay hombres gay ? No lo sabés o te haces la tonta expresamente ? . Hay violencia en todos los géneros, vos que te la querés dar de tan adelantada, informate del tema. Me enerva tu Ignorancia",homophobic,0
"acá está claro el »borrado de las mujeres«, necesario debido a los varones trans que son las únicas personas menstruantes o gestantes que aunque son hembras no son mujeres.",transphobic,2
 Lo que resulta imbécil e innecesario es pretender deslegitimar la agresión por el solo hecho de que la agraviada haya optado por la opción que a él no le parece. Como si con Keiko el respeto y soporte por la comunidad LGBTI estuviese asegurada.,non-anti-LGBT,1
"El pijo, el gordo, el negro, el gay, el sudaca, la puta, el cayetanito, ""no como yo, diferente, porque yo soy de barrio popular"", las ""clases populares""... Es retorica fascista y antiigualitaria típica del bullying normo hetero patriarcal. Se llama Juan o Pepe, no ""cayetanito"".",homophobic,0
"En lo personal soy mujer y tengo que lucir bien;no puedo ir por la vida en pijama porque soy lesbiana o dejada. Estoy obligada a encajar en una sociedad que compite con otras mujeres,y sino lo hago soy lesbiana. Debo llamar la atención de los hombres, ah pero si lo hago: soy puta",homophobic,0
¡Padres ejemplares! Famosos que tienen y apoyan a sus hijos transgénero .-     &amp;%,non-anti-LGBT,1
"Gay, seguro.",homophobic,0
Con esto del #OrgulloLGTBI veo a mucha gente hablado de que la gente mayor también existe. Ahora. Por el año 1999 no escuchaba tanto ese discurso.,non-anti-LGBT,1
"Los Uribistas emputados con Riaño por decirle pobre, negro y gay a Polo polo. Pero en solidaridad con J Balvin después del Beef de Residente 🤣🤣🤣",homophobic,0
"Estoy escribiendo el guión de una peli. Protagonizada por una mujer transexual negra gitana que trabaja en Open Arms recogiendo inmigrantes en el Mediterráneo y cuyo padre, antiguo militar Franquista, abusó de ella. Será una puta mierda pero nadie tendrá huevos a criticarla!!",transphobic,2
"Después, si a una lesbiana le da asco el pene, ahí todos re felices y no se quejan. Después un hetero le da asco el pene y es porque les da asco los trans. Dejen de romper las pelotas, y dejen vivir a la gente, loco. Piden respeto y no saben respetar los gustos ajenos 🙄",transphobic,2
Alguien sabe cuál es ese roce entre las trans y con maricas que solo no entiendo hasta creo que no dejan ser su sexualidad por ese roce que no se porque existe,homophobic,0
Oye los vateres estos que se baja la tapa sola son para maricones que mean sentados o que? jajajaj que no me deja mear en paz la puta tapa,homophobic,0
"A ver, #LeyTransYa #LGTBIQ #LGTBI al final las mujeres tienen la regla y los hombres no, no?",non-anti-LGBT,1
"Cada vez tengo más claro que soy discriminado por tres cosas: ser homosexual, ser de centro en España y sentirme igual de español que de catalán en Cataluña.",homophobic,0
Mucho ánimo eres de los pocos que se pueden considerar periodistas hoy en día. Espero que sigas defendiendo siempre tus ideales por encima de todo. #ascoanarosa #fuckvox #LGTBI,non-anti-LGBT,1
Osea que por lo que sabemos entre los asesinos de Samuel hay una mujer y un hincha de extrema izquierda... ¿Quizá es eso por lo tienen todo tan en secreto? #LGTBIfobia #LGBT #LGTBI,non-anti-LGBT,1
