,lang,text,category,label
26,eng,This is satanic decision BJP is destroying our people I mean Tamillan                ,homophobic-derogation,1
32,eng,Go to hell                ,homophobic-derogation,1
54,eng,I support lgbt I love gay and lesbian people                ,homophobic-derogation,1
95,eng,Shoot him all Dust bin                ,homophobic-threatening,2
103,eng,Dislike people of this video are non humanityDoesnt have any eligible to live in the earth                ,homophobic-derogation,1
108,eng,They are doing making public fully damage                ,homophobic-threatening,2
110,eng,Because of society Then the problem is with us because we are part of the society                ,homophobic-derogation,1
113,eng,lol just leave I wont change my perception bcz in my clg life something like this happened to one my frnd I dont wont explain that so I wont support those butt fuckers                ,homophobic-derogation,1
116,eng,The judges is a wrong persons so judgement also wrong decisionSo we have to re appele supreme Court                ,homophobic-derogation,1
142,eng,I think its mental illness Go and consult doctor                ,homophobic-derogation,1
167,eng,Male chromosome is weaker than female one So this may be true                ,homophobic-derogation,1
183,eng,Money minded fair skin people getting everything easily Rich fair high class nowadays all Are gay it spreading nowadays This is recent suitation in India             ,homophobic-derogation,1
185,eng,Dont act too smart to prove the sin as purity God has created us to live holy life  unless God breaks drakness from your heart and mind you will be speaking like this only SIN IS SIN ALWAYS WHO EVER DOES IT IN ANY CASTE COMMUNITY  RELIGION                 ,homophobic-derogation,1
191,eng,ramz mesh  Youre the actual fool One day Jesus will come and people like you will go to the hell forever Then only you will understand who is the fool REPENT                ,homophobic-derogation,1
220,eng,Culture determines our next generation  these kind of things will spoil our future generations                ,homophobic-derogation,1
222,eng,Hey seriously I thought She was a Transgender                ,transphobic-derogation,5
228,eng,Malini  Wat justice you give for  innocent  people betayed by homosexuals like u                ,homophobic-derogation,1
260,eng,Yes animals not doing like that  then one more do you resently what happening in chennai 8 year girl was rebed to 13 jens just think about which doing like that i think animals better to yours                ,homophobic-derogation,1
264,eng,I dont agree with homosexuality because I am not homosexual but if people are like that let them be who they are Its not about culture it about the heart and who you love dearly Thats all I have to say and we respect each other for who they are                ,homophobic-derogation,1
277,eng,Vantalunga Uber cool feminist hypocrites Always talking about LGBT and other shitt                ,homophobic-derogation,1
316,eng,DRAGON BALL FAN  I know actually And I know whats a condom Thanks fr the info buddy but Im monogamous so I assure u neither I nor my future partner are gonna cheat Also I will always use a condom                ,homophobic-derogation,1
381,eng,Mohamed sameer hy such a good heart u r such a nice person its good to c ur comment and the way u replied                 ,homophobic-derogation,1
393,eng,She is giving unwanted example to justify herself  Opposite poles only attract  That is nature  She is the new virus to the further generation Very bad i will pray for you god bless you             ,homophobic-derogation,1
394,eng,SOME People support lesbianism gayism blah blah if someone questioning them  they shout us back ITS LOVE BETWEEN TWO HEART but if we ask Do you support love between two sisters  They got no answers                ,homophobic-derogation,1
402,eng,This is actually Disease                 ,homophobic-derogation,1
413,eng,As per biblical scriptures says GENESIS 19full chapter GOD AGAINST THIS HOMESEXUL SO PLEASE BROTHER AND SISTER ACCORDING TO HOLY BIBLE SAYS ITS AGAINST TO GOD PLEASE AOVID THIS THIS IS NOT GOOD ITS ALL SATANIC WORKS             ,homophobic-derogation,1
428,eng,we should be ashamed of not changing the society                ,homophobic-derogation,1
456,eng,If it is mutual okay Or else if a male or female is attracted to another male or female and proposes his or her interest but if the latter is not interested what will the former do In some cases if a boy and a girl are in love and if some other boy loves the boy and if the former rejects the proposal then sometimes it may lead to crime To this against nature If the proposals are mutual we can accept But how do we know it is mutual or compelled                ,homophobic-derogation,1
544,eng,Madam read bible What bible says about homosex Jesus destroy one country For homosex  Jesus coming soon           ,homophobic-threatening,2
550,eng,vanitha 8110  Vanitha u cant openly tell LGBT in our society Where as u will get respect u husband or wife to society This is our culture  If u cant accept a man as partner then no other way atleast maintain secretly                ,homophobic-derogation,1
551,eng,Sister you are looking beauty  Pls dont spoil your talents towards this my small request is to sit and pray to God because beyond all your studiesknowledge  books you have studied   there is more big thing to know about human soul and spirit ask God about that get the answer from God and then speak wat ever you like to speak untill that please wait                ,homophobic-derogation,1
571,eng,i fucking hate lesbians                ,homophobic-derogation,1
572,eng,The film is good a good try Why r u trying to emphasize on securitys personal life that his son is gay or notso now security knows that his son is Straight so he relaxesin the immediate cut u r establishing that Arjun feels guilty to be in closet and accepts to lead his life as he is but u didnt anywhere emphasize  what he is going through right now and why suddenly he plans to come out of closet this lead me a thought that this film is from security s pov and he is happy that his son is Straight and Symphatetic on Arjun for being gayso basically u r establishing that gay men or largely LGBT members are like handicappedso feel pity on them                ,homophobic-derogation,1
578,eng,2 CORINTHIANS 510 For we must all appear before the Judgement seat of Christ that everyone may receive the things done in his body according to that he hath done whether it be good or bad                ,homophobic-derogation,1
597,eng,Its a Sin                ,homophobic-derogation,1
604,eng,Friendship s friendshipdont make it as sexual thing                ,homophobic-derogation,1
638,eng,Its not good                 ,homophobic-derogation,1
667,eng,it based on emotions by nature but  man to man love possible upto some extent They can share their love each other but they cant cross their limits                ,homophobic-derogation,1
678,eng,Please dont give me new disease                ,homophobic-derogation,1
681,eng,were the railway POLICE OH IM SORRY THEY SLEEPING                ,homophobic-derogation,1
688,eng,Jesus ples save them                 ,homophobic-derogation,1
726,eng,BIBLE SAYS 1CORINTHIANS 6910 Know ye not that the unrighteous shall not inherit the kingdom of God Be not deceived neither fornicators nor idolaters nor adulterers nor effeminate nor abusers of themselves with mankind nor thieves nor covetousnor drunkards nor revilers nor extortioners shall inherit the kingdom of God                ,homophobic-derogation,1
765,eng,Nasty act God is strictly against this God once burned the whole city name Sodom and Gomorrah Its a disgrace to India Repent for your nastiness God will give grace and save you if u repent                ,homophobic-derogation,1
808,eng,They are not male or femalethey are some people with mental dosorder                ,homophobic-derogation,1
831,eng,Pakistan country parcel panni shoot pannanum                ,homophobic-derogation,1
836,eng,Noit is a sinbro                ,homophobic-derogation,1
