lang,text,category,label,,transliterated_from_spanish
eng,This is satanic decision BJP is destroying our people I mean Tamillan,homophobic,0,FALSE,
eng,Go to hell,homophobic,0,FALSE,
eng,I support lgbt I love gay and lesbian people,homophobic,0,FALSE,
eng,Shoot him all Dust bin,homophobic,0,FALSE,
eng,Dislike people of this video are non humanityDoesnt have any eligible to live in the earth,homophobic,0,FALSE,
eng,They are doing making public fully damage,homophobic,0,FALSE,
eng,Because of society Then the problem is with us because we are part of the society,homophobic,0,FALSE,
eng,lol just leave I wont change my perception bcz in my clg life something like this happened to one my frnd I dont wont explain that so I wont support those butt fuckers,homophobic,0,FALSE,
eng,The judges is a wrong persons so judgement also wrong decisionSo we have to re appele supreme Court,homophobic,0,FALSE,
eng,I think its mental illness Go and consult doctor,homophobic,0,FALSE,
eng,Male chromosome is weaker than female one So this may be true,homophobic,0,FALSE,
eng,Money minded fair skin people getting everything easily Rich fair high class nowadays all Are gay it spreading nowadays This is recent suitation in India,homophobic,0,FALSE,
eng,Dont act too smart to prove the sin as purity God has created us to live holy life unless God breaks drakness from your heart and mind you will be speaking like this only SIN IS SIN ALWAYS WHO EVER DOES IT IN ANY CASTE COMMUNITY RELIGION,homophobic,0,FALSE,
eng,ramz mesh  Youre the actual fool One day Jesus will come and people like you will go to the hell forever Then only you will understand who is the fool REPENT,homophobic,0,FALSE,
eng,Culture determines our next generation these kind of things will spoil our future generations,homophobic,0,FALSE,
eng,Hey seriously I thought She was a Transgender,transphobic,2,TRUE,
eng,Malini Wat justice you give for innocent people betayed by homosexuals like u,homophobic,0,FALSE,
eng,Yes animals not doing like that then one more do you resently what happening in chennai 8 year girl was rebed to 13 jens just think about which doing like that i think animals better to yours,homophobic,0,FALSE,
eng,I dont agree with homosexuality because I am not homosexual but if people are like that let them be who they are Its not about culture it about the heart and who you love dearly Thats all I have to say and we respect each other for who they are,homophobic,0,FALSE,
eng,Vantalunga Uber cool feminist hypocrites Always talking about LGBT and other shitt,homophobic,0,FALSE,
eng,DRAGON BALL FAN  I know actually And I know whats a condom Thanks fr the info buddy but Im monogamous so I assure u neither I nor my future partner are gonna cheat Also I will always use a condom,homophobic,0,FALSE,
eng,Mohamed sameer hy such a good heart u r such a nice person its good to c ur comment and the way u replied,homophobic,0,FALSE,
eng,She is giving unwanted example to justify herself Opposite poles only attract That is nature She is the new virus to the further generation Very bad i will pray for you god bless you,homophobic,0,FALSE,
eng,SOME People support lesbianism gayism blah blah if someone questioning them they shout us back ITS LOVE BETWEEN TWO HEART but if we ask Do you support love between two sisters They got no answers,homophobic,0,FALSE,
eng,This is actually Disease,homophobic,0,FALSE,
eng,As per biblical scriptures says GENESIS 19full chapter GOD AGAINST THIS HOMESEXUL SO PLEASE BROTHER AND SISTER ACCORDING TO HOLY BIBLE SAYS ITS AGAINST TO GOD PLEASE AOVID THIS THIS IS NOT GOOD ITS ALL SATANIC WORKS,homophobic,0,FALSE,
eng,we should be ashamed of not changing the society,homophobic,0,FALSE,
eng,If it is mutual okay Or else if a male or female is attracted to another male or female and proposes his or her interest but if the latter is not interested what will the former do In some cases if a boy and a girl are in love and if some other boy loves the boy and if the former rejects the proposal then sometimes it may lead to crime To this against nature If the proposals are mutual we can accept But how do we know it is mutual or compelled,homophobic,0,FALSE,
eng,Madam read bible What bible says about homosex Jesus destroy one country For homosex Jesus coming soon,homophobic,0,FALSE,
eng,vanitha 8110 Vanitha u cant openly tell LGBT in our society Where as u will get respect u husband or wife to society This is our culture If u cant accept a man as partner then no other way atleast maintain secretly,homophobic,0,FALSE,
eng,Sister you are looking beauty Pls dont spoil your talents towards this my small request is to sit and pray to God because beyond all your studiesknowledge books you have studied there is more big thing to know about human soul and spirit ask God about that get the answer from God and then speak wat ever you like to speak untill that please wait,homophobic,0,FALSE,
eng,i fucking hate lesbians,homophobic,0,FALSE,
eng,The film is good a good try Why r u trying to emphasize on securitys personal life that his son is gay or notso now security knows that his son is Straight so he relaxesin the immediate cut u r establishing that Arjun feels guilty to be in closet and accepts to lead his life as he is but u didnt anywhere emphasize what he is going through right now and why suddenly he plans to come out of closet this lead me a thought that this film is from security s pov and he is happy that his son is Straight and Symphatetic on Arjun for being gayso basically u r establishing that gay men or largely LGBT members are like handicappedso feel pity on them,homophobic,0,FALSE,
eng,2 CORINTHIANS 510 For we must all appear before the Judgement seat of Christ that everyone may receive the things done in his body according to that he hath done whether it be good or bad,homophobic,0,FALSE,
eng,Its a Sin,homophobic,0,FALSE,
eng,Friendship s friendshipdont make it as sexual thing,homophobic,0,FALSE,
eng,Its not good,homophobic,0,FALSE,
eng,it based on emotions by nature but man to man love possible upto some extent They can share their love each other but they cant cross their limits,homophobic,0,FALSE,
eng,Please dont give me new disease,homophobic,0,FALSE,
eng,were the railway POLICE OH IM SORRY THEY SLEEPING,homophobic,0,FALSE,
eng,Jesus ples save them,homophobic,0,FALSE,
eng,BIBLE SAYS 1CORINTHIANS 6910 Know ye not that the unrighteous shall not inherit the kingdom of God Be not deceived neither fornicators nor idolaters nor adulterers nor effeminate nor abusers of themselves with mankind nor thieves nor covetousnor drunkards nor revilers nor extortioners shall inherit the kingdom of God,homophobic,0,FALSE,
eng,Nasty act God is strictly against this God once burned the whole city name Sodom and Gomorrah Its a disgrace to India Repent for your nastiness God will give grace and save you if u repent,homophobic,0,FALSE,
eng,They are not male or femalethey are some people with mental dosorder,homophobic,0,FALSE,
eng,Pakistan country parcel panni shoot pannanum,homophobic,0,FALSE,
eng,Noit is a sinbro,homophobic,0,FALSE,
eng,Only positive and negative attracts while same pole attracts its a defect it must be cured its not a culture These things are not a natural,homophobic,0,FALSE,
eng,Think about one generation where no male wants to live with female and no female wants to live with male It will be the end of the humans Male to male should not be attracted for sexual desires they can be friends people think this as freedom but this is not Dont consider transgender as lesbians or gays They change their sex and then they are attracted to opposite sex Dont think that whatever foreign countries do as correct We were the people who were leading culturally they should follow us not the reverse,homophobic,0,FALSE,
eng,Men who have sex with men account for the largest proportion of new HIV infections reported in Canada Canadian Red Cross Society introduced a blood donor eligibility criterion that excluded all men who have had sex with a man even once since 1977,homophobic,0,FALSE,
eng,We should not encourage this judgment because if u keep have with same gender how your family will grow What about children Leave about the country God has given opportunity to live with boy and girl only in this world Not same gender,homophobic,0,FALSE,
eng,USA person is a true gay Indian person who is forced to be a gay Sort of breakup story,homophobic,0,FALSE,
eng,You father is getting by homosexual then how to you born in the world Your speech was not justice for human being very talented So your homosexual thinking created and developed by yourself and by your living situation Thats your problem so dont criticize to anybody for this issues Peoples be allotted and keep to distance of this type of guys I advise to all the peoples especially for young generations This is our culturally very bad and worst activities and Gods is not creating this type of homosexual mans and lespian womans,homophobic,0,FALSE,
eng,These people support homosexual because they do not want to take responsibility like childrenjust live without any use,homophobic,0,FALSE,
