text,category,label
Syndrome bolte kya,non-anti-LGBT,1
"❤️Har barr ek naye josh k sath ek achha😎 content 🎉🎉🎉🎉.
Guru dev 🙏🙏🙏",non-anti-LGBT,1
She is trying to promote gangubai i think. 😂,non-anti-LGBT,1
Ye koi hasne ki baat ni hai,non-anti-LGBT,1
Jo paidaish se ho wo accha insan hai but jo khud se aisa Banta h usse hamesha Bach kar rahna,non-anti-LGBT,1
ग्रेट हो सर आप,non-anti-LGBT,1
Sir gay aur lesbian apni activities change kar sakte hai,non-anti-LGBT,1
" @VIKASH SARMA  india, prayagraj.",non-anti-LGBT,1
क्या बात है sir ji पहली बार in सब का मतलब समझ में आया है thanks a lot 😊😊😊😊🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗,non-anti-LGBT,1
Ekdam khara,non-anti-LGBT,1
"Is topic pe aap bimar lagte hai, it's natural mr.khan ,Soch badlo",non-anti-LGBT,1
Khan sir doctor ki likhi hui parchi samajh mein nahin aati is per video banai English kaise,non-anti-LGBT,1
Mentally bimar nhi hn sir yeh hormones change ke vajah se hote hn😒,non-anti-LGBT,1
सच मे सर आपकी पढ़ाने का तरीका देख के मन करता है हमेशा हम पढ़ते ही रहे,non-anti-LGBT,1
I got to know through this video that i am tom boy 🤣🤣🤣 good watch,non-anti-LGBT,1
Sir tomboy ke baare me information chahiye,non-anti-LGBT,1
To karan Johar KY Hai??,non-anti-LGBT,1
"Ye homo sexual ka problem...sab vaccine ke karan hota hai....janm ke bad ya pahle jo koi bhi vaccine diye jate hai usi ke chalte ..time pe beard ,dadhi time pe nahi aana ..au bhi bohot se problem hote hai...but ham kuchh nahi kar sakte 😭😭😭😭😭",non-anti-LGBT,1
After watching badhai do,non-anti-LGBT,1
गाँव मे भी इंसान ही रहते है और भारत मे ज्यादातर लोग गाँव से ही है,non-anti-LGBT,1
soo yeh jo aap word use kr rhe bimari thts very wrong word sooo agr smjana phele aap samj lo yeh log gay lesbian kyu hote tabhi aap kisi ko amjaoge,non-anti-LGBT,1
Sir aapka convince tarike se es topic  ka ham asani se samajh gae,non-anti-LGBT,1
 @Atharv Kadam  nahi be.. Banda technical hu.. Meri job non tech hai.. That's why,non-anti-LGBT,1
Isme harmonal disbelance hota h,non-anti-LGBT,1
Hamara bhi koi dost banega please,non-anti-LGBT,1
"Sir, does Homosexuality occur only in humans, or in other species of animals as well?",non-anti-LGBT,1
MEKO LGTA THA HOMOSEXUAL MATLAB HOME ME SEX KARNE WALE 😂,homophobic,0
Inme se koi bhi rog nhi hai,non-anti-LGBT,1
Single laundu parisan mat hu😂😂😂,non-anti-LGBT,1
"Baaki sab to thik hai but iska kya matlab hai ki ""Gaon me rah kar aayi hu to Kothe pe bhi ja sakti hu akele"" aapne kaise relate kiya isko.....Gandhi ki follower ho to shayd ye bhul gyi ki Gandhi ji ne kahaa tha ""India's soul lives in villages"" ....Indian culture, language and even agriculture jiska tum khaa rahi vo bhi ek gaaon ka Kisan hi paida karta hai ....""Jai Jawan n Jai Kisan"" ka nara jo shastri ji ne diya thaa to vo gaaon pe hi suit krta hai ....boarders pe ladne vaale jawan or Anaaj ugaane vaale kisan sab gaaon se hi aate hai....choose your words sensibly",non-anti-LGBT,1
Homo sexual chrosome ki garbari ke karan hota hai ya harmone ke karan pl. Video bana kar samjhaye,non-anti-LGBT,1
Your teaching style very good.,non-anti-LGBT,1
 @Jasmin poudel  nature ne kbi body male or felings female ki nhi di ye kuch log jo is k adi ho gae he glt smbhandh k wje se,transphobic,2
" @LIMITED GAMER  tum agar dharam aur sanskriti ki baat kar rahe ho toh kah du... Ki.. Baaki dharmo mai y ho na ho par hindu dharam mai y bhaut pahle se hai... Kamasutra ko refer karo.. Aur jab koi aadmi aurto ko maarta hai rape karta hai.. Tab sabhyata aur sanskriti kaha jaati hai..?? 
Sorry par tum bhi dharam aur sanskriti k naam par logo ko draa rahe ho.. Or kuch nahi.... Ek hindu dharam hi aisa hai jo physically, mentally aur spiritually sab kuch karne ki azaadi deta hai...",non-anti-LGBT,1
 @Alveera Chouhan  बोलो जी,non-anti-LGBT,1
Inter sex je hota he ke hmari body lardka time hoti a PR chest lardi jesi hoti he hor nich ling larde jesa hota he,non-anti-LGBT,1
Bhaiyon kisi ko aise shabdo se mt bulao. Insan has kr jawab deta hai pr uske dil pr ky bidti hai bs wahi janta hai.,non-anti-LGBT,1
Bahoot bada confusion tha sir ....bahoot bahoot shukriya aapka ye confusion dur krne ke liye,non-anti-LGBT,1
Maa tujhe salam ✨,non-anti-LGBT,1
It's my first class and what a class!   Sir it's not only a class it is your emotion with knowledge,non-anti-LGBT,1
"Sir with due respect , dusro ko samjhane se pehle aap khud pehle ache se samajh lijiye Gender/Sexuality ke bare me. Half knowledge is more dangerous than no knowledge.",non-anti-LGBT,1
Puja kha naha k aayi ho,non-anti-LGBT,1
Chup bilkul chup _ himat kaise Hui teri muh kholne ki,non-anti-LGBT,1
Kyu tujhe btate h kya ki hm khush nhi h kuch bhi bolte h khush rhe kr ke to ye sb krate h kya,non-anti-LGBT,1
"Akshay, from this documentary, clearly we can see the place where you'd stayed, has witnessed incredible progress toward equality for LGBTQ people, as well as the inevitable backlash following such a challenge to the status quo. The intensification of transphobic discrimination and violence is reflected in record numbers of cases such as lack of legal protections against discrimination, and proposed laws to bar trans people from using restrooms and other public facilities that correspond to their gender identity.  But this place as you've shown us has overcame with all such difficulties they've been facing and gives them a short span exaltation. It is very instrumental that we've to understand gender as social rather than biological phenomenon. But people fails to understand often and have created stereotypes against these community. Btw I came to know about this documentary from your whatsp status. I can't relate this but i must say It's very hard to do such things and for this, you really need a brave heart and positive impulses to ignore such backlashes from our surroundings. And that's what you're trying. Keep it up brother. I'm glad at least one of my friends is trying his best  to pursue his best interests. Lastly, My best wishes for your next adventures. 😅🙌",non-anti-LGBT,1
Sir Jinana kiya hai..?,non-anti-LGBT,1
In India this is the problem not jn century😊,non-anti-LGBT,1
"Sir aap ""shemale"" bhool gaye hai,, jiska penis hota hai aur breast bhi , aur ladki jesi shakal ,, aur ye sex bhi karte hai ,, aur sperm bhi nikalta hai inka......",non-anti-LGBT,1
 @sk  but money kitna lgega,non-anti-LGBT,1
 @Ankit Sharma  society pe kya depend karta hai. If it is natural so how it is depend on society.,non-anti-LGBT,1
 @NEERAJ CHOPRA(REAL ID)  ab aayi baat samajh me.,non-anti-LGBT,1
Are wah ... phle or ab k khan sir me to bhtt hi different aa gya h.. sir develop kr gye h ab ☺,non-anti-LGBT,1
Gao reheke aaee ka Kya Matlab hai  sabsejada protection to gao me he hota hai because every body knows every one . What are you saying village are goons . Sabse nada kotha tho city hai jahape pati patni kam ke nam pe kahi Jate hai kuch bi karthe hai.bath karte samey dyan rakho ki Kya bol rahihooo,non-anti-LGBT,1
kush to gadbad he daya,non-anti-LGBT,1
4:30 Sir agar yeh mansik rog hai to iska koi ilaj nahi hai kya ?,non-anti-LGBT,1
Inter sex me ladka paida hoga ya nahi?,non-anti-LGBT,1
Shi h 👍,non-anti-LGBT,1
"Homosexual is a Natural not a mental illnesses
Is pr ayushman khurana ki movie bhi bani hai ""shubh mangal jyada savdhaan""🙏🙏

Respect 🙏for LGBTI",non-anti-LGBT,1
"Is teacher ko samne se kiss karenge,tab usko puchenge farak laga ya nhi?
Tab usko asli me experience hoga , practically ..
Theory to samjha chuka vulchuk karke",non-anti-LGBT,1
" @neuclear tech gaming  unhone sexuality aur gender koh merge kya ,,,,,, transgender  ladki bhi hoti hai, ladka bhi hota hai , gay bhi hota hai lesbian bhi hota hai , cisgender ladki bhi hoti hai ladka bhi hota hai gay bhi hota hai lesbian bhi hota hai",non-anti-LGBT,1
Monti ka bap,non-anti-LGBT,1
Shukriya janab kash har koi aap ki tarah samjhte to zindgi asan ho jayegi.,non-anti-LGBT,1
