,text,Labels
0,Syndrome bolte kya,Non-anti-LGBT+ content
1,"❤️Har barr ek naye josh k sath ek achha😎 content 🎉🎉🎉🎉.
Guru dev 🙏🙏🙏",Non-anti-LGBT+ content
2,She is trying to promote gangubai i think. 😂,Non-anti-LGBT+ content
3,Ye koi hasne ki baat ni hai,Non-anti-LGBT+ content
4,Jo paidaish se ho wo accha insan hai but jo khud se aisa Banta h usse hamesha Bach kar rahna,Non-anti-LGBT+ content
5,ग्रेट हो सर आप,Non-anti-LGBT+ content
6,Sir gay aur lesbian apni activities change kar sakte hai,Non-anti-LGBT+ content
7," @VIKASH SARMA  india, prayagraj.",Non-anti-LGBT+ content
8,क्या बात है sir ji पहली बार in सब का मतलब समझ में आया है thanks a lot 😊😊😊😊🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗🤗,Non-anti-LGBT+ content
9,Ekdam khara,Non-anti-LGBT+ content
10,"Is topic pe aap bimar lagte hai, it's natural mr.khan ,Soch badlo",Non-anti-LGBT+ content
11,Khan sir doctor ki likhi hui parchi samajh mein nahin aati is per video banai English kaise,Non-anti-LGBT+ content
12,Mentally bimar nhi hn sir yeh hormones change ke vajah se hote hn😒,Non-anti-LGBT+ content
13,सच मे सर आपकी पढ़ाने का तरीका देख के मन करता है हमेशा हम पढ़ते ही रहे,Non-anti-LGBT+ content
14,I got to know through this video that i am tom boy 🤣🤣🤣 good watch,Non-anti-LGBT+ content
15,Sir tomboy ke baare me information chahiye,Non-anti-LGBT+ content
16,😂,Non-anti-LGBT+ content
17,To karan Johar KY Hai??,Non-anti-LGBT+ content
18,"Ye homo sexual ka problem...sab vaccine ke karan hota hai....janm ke bad ya pahle jo koi bhi vaccine diye jate hai usi ke chalte ..time pe beard ,dadhi time pe nahi aana ..au bhi bohot se problem hote hai...but ham kuchh nahi kar sakte 😭😭😭😭😭",Non-anti-LGBT+ content
19,After watching badhai do,Non-anti-LGBT+ content
20,गाँव मे भी इंसान ही रहते है और भारत मे ज्यादातर लोग गाँव से ही है,Non-anti-LGBT+ content
21,soo yeh jo aap word use kr rhe bimari thts very wrong word sooo agr smjana phele aap samj lo yeh log gay lesbian kyu hote tabhi aap kisi ko amjaoge,Non-anti-LGBT+ content
22,Sir aapka convince tarike se es topic  ka ham asani se samajh gae,Non-anti-LGBT+ content
23, @Atharv Kadam  nahi be.. Banda technical hu.. Meri job non tech hai.. That's why,Non-anti-LGBT+ content
24,Isme harmonal disbelance hota h,Non-anti-LGBT+ content
25,Hamara bhi koi dost banega please,Non-anti-LGBT+ content
26,"Sir, does Homosexuality occur only in humans, or in other species of animals as well?",Non-anti-LGBT+ content
27,MEKO LGTA THA HOMOSEXUAL MATLAB HOME ME SEX KARNE WALE 😂,Homophobia
28,Inme se koi bhi rog nhi hai,Non-anti-LGBT+ content
29,Single laundu parisan mat hu😂😂😂,Non-anti-LGBT+ content
30,"Baaki sab to thik hai but iska kya matlab hai ki ""Gaon me rah kar aayi hu to Kothe pe bhi ja sakti hu akele"" aapne kaise relate kiya isko.....Gandhi ki follower ho to shayd ye bhul gyi ki Gandhi ji ne kahaa tha ""India's soul lives in villages"" ....Indian culture, language and even agriculture jiska tum khaa rahi vo bhi ek gaaon ka Kisan hi paida karta hai ....""Jai Jawan n Jai Kisan"" ka nara jo shastri ji ne diya thaa to vo gaaon pe hi suit krta hai ....boarders pe ladne vaale jawan or Anaaj ugaane vaale kisan sab gaaon se hi aate hai....choose your words sensibly",Non-anti-LGBT+ content
31,Homo sexual chrosome ki garbari ke karan hota hai ya harmone ke karan pl. Video bana kar samjhaye,Non-anti-LGBT+ content
32,Your teaching style very good.,Non-anti-LGBT+ content
33, @Jasmin poudel  nature ne kbi body male or felings female ki nhi di ye kuch log jo is k adi ho gae he glt smbhandh k wje se,Transphobia
34," @LIMITED GAMER  tum agar dharam aur sanskriti ki baat kar rahe ho toh kah du... Ki.. Baaki dharmo mai y ho na ho par hindu dharam mai y bhaut pahle se hai... Kamasutra ko refer karo.. Aur jab koi aadmi aurto ko maarta hai rape karta hai.. Tab sabhyata aur sanskriti kaha jaati hai..?? 
Sorry par tum bhi dharam aur sanskriti k naam par logo ko draa rahe ho.. Or kuch nahi.... Ek hindu dharam hi aisa hai jo physically, mentally aur spiritually sab kuch karne ki azaadi deta hai...",Non-anti-LGBT+ content
35, @Alveera Chouhan  बोलो जी,Non-anti-LGBT+ content
36,Inter sex je hota he ke hmari body lardka time hoti a PR chest lardi jesi hoti he hor nich ling larde jesa hota he,Non-anti-LGBT+ content
37,Bhaiyon kisi ko aise shabdo se mt bulao. Insan has kr jawab deta hai pr uske dil pr ky bidti hai bs wahi janta hai.,Non-anti-LGBT+ content
38,Bahoot bada confusion tha sir ....bahoot bahoot shukriya aapka ye confusion dur krne ke liye,Non-anti-LGBT+ content
39,Maa tujhe salam ✨,Non-anti-LGBT+ content
40,It's my first class and what a class!   Sir it's not only a class it is your emotion with knowledge,Non-anti-LGBT+ content
41,"Sir with due respect , dusro ko samjhane se pehle aap khud pehle ache se samajh lijiye Gender/Sexuality ke bare me. Half knowledge is more dangerous than no knowledge.",Non-anti-LGBT+ content
42,Puja kha naha k aayi ho,Non-anti-LGBT+ content
43,Chup bilkul chup _ himat kaise Hui teri muh kholne ki,Non-anti-LGBT+ content
44,Kyu tujhe btate h kya ki hm khush nhi h kuch bhi bolte h khush rhe kr ke to ye sb krate h kya,Non-anti-LGBT+ content
45,"Akshay, from this documentary, clearly we can see the place where you'd stayed, has witnessed incredible progress toward equality for LGBTQ people, as well as the inevitable backlash following such a challenge to the status quo. The intensification of transphobic discrimination and violence is reflected in record numbers of cases such as lack of legal protections against discrimination, and proposed laws to bar trans people from using restrooms and other public facilities that correspond to their gender identity.  But this place as you've shown us has overcame with all such difficulties they've been facing and gives them a short span exaltation. It is very instrumental that we've to understand gender as social rather than biological phenomenon. But people fails to understand often and have created stereotypes against these community. Btw I came to know about this documentary from your whatsp status. I can't relate this but i must say It's very hard to do such things and for this, you really need a brave heart and positive impulses to ignore such backlashes from our surroundings. And that's what you're trying. Keep it up brother. I'm glad at least one of my friends is trying his best  to pursue his best interests. Lastly, My best wishes for your next adventures. 😅🙌",Non-anti-LGBT+ content
46,Sir Jinana kiya hai..?,Non-anti-LGBT+ content
47,In India this is the problem not jn century😊,Non-anti-LGBT+ content
48,"Sir aap ""shemale"" bhool gaye hai,, jiska penis hota hai aur breast bhi , aur ladki jesi shakal ,, aur ye sex bhi karte hai ,, aur sperm bhi nikalta hai inka......",Non-anti-LGBT+ content
49, @sk  but money kitna lgega,Non-anti-LGBT+ content
50, @Ankit Sharma  society pe kya depend karta hai. If it is natural so how it is depend on society.,Non-anti-LGBT+ content
51, @NEERAJ CHOPRA(REAL ID)  ab aayi baat samajh me.,Non-anti-LGBT+ content
52,Are wah ... phle or ab k khan sir me to bhtt hi different aa gya h.. sir develop kr gye h ab ☺,Non-anti-LGBT+ content
53,Gao reheke aaee ka Kya Matlab hai  sabsejada protection to gao me he hota hai because every body knows every one . What are you saying village are goons . Sabse nada kotha tho city hai jahape pati patni kam ke nam pe kahi Jate hai kuch bi karthe hai.bath karte samey dyan rakho ki Kya bol rahihooo,Non-anti-LGBT+ content
54,kush to gadbad he daya,Non-anti-LGBT+ content
55,4:30 Sir agar yeh mansik rog hai to iska koi ilaj nahi hai kya ?,Non-anti-LGBT+ content
56,Inter sex me ladka paida hoga ya nahi?,Non-anti-LGBT+ content
57,Shi h 👍,Non-anti-LGBT+ content
58,"Homosexual is a Natural not a mental illnesses
Is pr ayushman khurana ki movie bhi bani hai ""shubh mangal jyada savdhaan""🙏🙏

Respect 🙏for LGBTI",Non-anti-LGBT+ content
59,"Is teacher ko samne se kiss karenge,tab usko puchenge farak laga ya nhi?
Tab usko asli me experience hoga , practically ..
Theory to samjha chuka vulchuk karke",Non-anti-LGBT+ content
60," @neuclear tech gaming  unhone sexuality aur gender koh merge kya ,,,,,, transgender  ladki bhi hoti hai, ladka bhi hota hai , gay bhi hota hai lesbian bhi hota hai , cisgender ladki bhi hoti hai ladka bhi hota hai gay bhi hota hai lesbian bhi hota hai",Non-anti-LGBT+ content
61,Monti ka bap,Non-anti-LGBT+ content
62,👍,Non-anti-LGBT+ content
63,Shukriya janab kash har koi aap ki tarah samjhte to zindgi asan ho jayegi.,Non-anti-LGBT+ content
64,आपका समझाने का तरीका बहुत ही अच्छा है सर हर एक टॉपिक को बड़े बेहतरीन तरीके से समझाते हैं,Non-anti-LGBT+ content
65,"earlier, I thought u got good mindset but rn ehhhw you calling is abnormal!??",Non-anti-LGBT+ content
66,Me lesbian hu,Non-anti-LGBT+ content
67,Marwaega ka screenshot leke ghar me bolenge yahi sab padh rahe ho.,Non-anti-LGBT+ content
68,Sir apko yhi nhi pta hai ki there is a huge difference in between GENDER and SEX. ....lol..........,Non-anti-LGBT+ content
69,"Yes 
This is seen in some gorillas , monkeys , giraffe , dogs , and some birds 
It is natural",Non-anti-LGBT+ content
70,Ye koi bimari nahi hai dost,Non-anti-LGBT+ content
71,Sir intersex me ak hi person dono ling hote hai penis or virgina ...or hota hai to ak male ya female me 2 gupt ang kese manage hoge ....kyoki space to 1 gupt ang ki hi hoti hai,Non-anti-LGBT+ content
72," @rajeev ranjan  who is this indian industrialist ?,can you name him plzz",Non-anti-LGBT+ content
73, @ज्योति शर्मा  Bilkul aapko haq he ...but jede aapko he wese hi hume bhi he humare baat rakhne ka haq,Non-anti-LGBT+ content
74,Aapne queer Ke bare me nahi bataya kya hota queer ?,Non-anti-LGBT+ content
75, @Ram Kumar   isliye proper information hona important hota he... Cz LGBTQ community me anewale log koi patient nhi hote he jinko ap treat kroge thats a normal personality trait... Agar aj bhi yaha survey kiya jaye to bohot se log is community se belong krenge and I always says that IT'S NOT A CRIME😊,Non-anti-LGBT+ content
76,Sir bhim rav ambedakar ke baare me video banaye,Non-anti-LGBT+ content
77,Sir testosterone level KO kaise thik kare  kya khaye or kya avoid kre,Non-anti-LGBT+ content
78,Femboy bhii hota he sir,Non-anti-LGBT+ content
79, @sk  lgbt nhi hai ye,Non-anti-LGBT+ content
80,Thailand mein jyada couple gay hote hai,Homophobia
81,male female ko disorder isleye nahi kehte h kyunki usse off springs nikalte h hamare genes ke. Par vo chiz LGBT me nahi hoti na,Non-anti-LGBT+ content
82,HOMO SEXUAL LOGON KO MANSOPCHAR TADNYA KE PAAS JAANE KI SALAH KYON NAHIN DIYA JAATA,Non-anti-LGBT+ content
83,Gourav mujhe bahut pasand thaaa yrrrr❤️☹️,Non-anti-LGBT+ content
84,"gay hona koi bimari nahi he .ye natural he.koi bhi dil or Surat se beutiful ho uspe dil aana wo chahe sexually ho ya koi or chahat se .,wo swabhavik he jahaz he",Non-anti-LGBT+ content
85,Plz make videos in English.,Non-anti-LGBT+ content
86,"Baayka'; ""purush"" zhaalya aahet assa ek hi 'video' nahi aahe naa?, pan 'purush' ""baayka"" zhaalela video aahe?, pan 'evadha' saagla aasoon dekhil purushanchyaa, ""navane"" khade, phodayche chal le la aahe!!!!!!!,..............????????",Non-anti-LGBT+ content
87," @ã   Inbreeding depression bolte h,  scientifically proved h....  Qurn kitab ke kido ko samajh nhi ayega",Non-anti-LGBT+ content
88,Last may jo aap bol rahe h usko follow b Karo khud ladke hoke ladki ki awaz nikal rahe ho,Non-anti-LGBT+ content
89,Pahli bar sir samj me aya 🙏🙏,Non-anti-LGBT+ content
90,Aesa nahi hh...but jo larki hai unko larka bnna psnd h jo larke h unhe larki bnna psnd .h to wo.apni.life aage jee skte hhh.....isme koi galt bat ni haiii....or hum or ap norml h jo normal nhi h unse  pucho unhe kaisa feel hota h,Non-anti-LGBT+ content
91,Mota maal,Non-anti-LGBT+ content
92,Shadi bi kon karta hai yaar kahanse milte pata bi nahi,Transphobia
93, @Lata Gidwani  देखती हूं,Non-anti-LGBT+ content
94,Bahutai Dhansu Video hai bhai Upsanhar News Apka,Non-anti-LGBT+ content
95,Suchchi,Non-anti-LGBT+ content
96,Haan😂!!,Transphobia
97,Sir tom boy  hetro sexual mai aate hai or homo sexual mai,Non-anti-LGBT+ content
98,"totttaly agree with uh brp..
pta nhi kya dimag me aata hai apni body ke saath khilwar krte h..",Non-anti-LGBT+ content
99,Naa sirji aapka concept ee wala subject me clear naa hau,Non-anti-LGBT+ content
100," @Nakul Das  Fyi gays namard nhi hote,ek male ki sari qualities hoti hai bas attraction males ki taraf hoti hai",Non-anti-LGBT+ content
101, @Savage Diva  hamne suna hai  ki jo apne aap ko jayada akal mand kehta hai we log to sabse bade murkh hote hai sister,Non-anti-LGBT+ content
102,"Kon kon LGBT community vale dekh rhe ho please like here 🏳️‍🌈👍
👇
👇",Non-anti-LGBT+ content
103,ek tarfa style hai guru ji k pdhaane k .. maan gye guru ✌️,Non-anti-LGBT+ content
104,Sir Aap live kab padhete hai,Non-anti-LGBT+ content
105,"Jo bhi hai harmonal, mental...unhone pehle hi bol diya tha ki dukhi mat hona...",Non-anti-LGBT+ content
106," @LIMITED GAMER  bhot h bhai aapke Or mere jese , or ye hame homophobe transphobe kehte h😂😂 USA m bhi inke oppose kra gya h watch Ben shapiro. He oppose this",Non-anti-LGBT+ content
107,Wahh,Non-anti-LGBT+ content
108,#Narendra kalasua nahii kue ke uska utras nahi hota,Non-anti-LGBT+ content
109,"bas ek baat batao,

ye mard hai ki janana?",Non-anti-LGBT+ content
110,Bhai ji os ko ladki ko kya kehete hai jiska guptag hota hai...,Non-anti-LGBT+ content
111,Thank you very much Guruji for information 👍,Non-anti-LGBT+ content
112, @Eren Yeager  you are trying to educate me regarding lgbt topic but then your first words are “ bts gay”…😑…Tuh pehle sides decide karr..,Non-anti-LGBT+ content
113,Ekdam sahee,Non-anti-LGBT+ content
114,Lesb gay ya bi ye koi chhakar hi hota hai,Homophobia
115,Sir ye sahi nhi hai lgbt wale rangdar k tarah train me manmana paisa mangte hain family k samne kahi v gandi aslil tarah se krte hain kahi v nanga ho jate hain esko kaise sahi maan sakte hain ....job to wolg k liye v option deta hai transgender wale v form bhr sakte hain wolg Jan bujh k khud ko alag dikhate hain,Transphobia
116,"ghareeb  ko  chahiye  ,  do  waqt  kee  roti  ,  bane  ""muslim  rashtara""  ya  ""hindu  rashtara""!",Non-anti-LGBT+ content
117,"जय हिंद सर आपने बहुत ही अच्छी जानकारी दी है तहे दिल से धन्यवाद

जो यह रोग से पीड़ित हैं उन्हें कौन से डॉक्टर से सलाह करके इलाज कराना चाहिए सो भी बताइएगा

इस रोग से बाहर आ सकते हैं क्या
क्या यह शारीरिक दोष समझ के स्वीकार कर लेना चाहिए
कृपया बताइएगा धन्यवाद",Non-anti-LGBT+ content
118,Hr chij me pyesa lgta h to isme bhi lgega,Non-anti-LGBT+ content
119,Sir lesberian female ki mentally change nhi kar sakate h kya  koi consular ke jariye .hamare mohalle me ek tom boy ladki rahti h,Non-anti-LGBT+ content
