sentence,category,label
And what rights does not have the trans group?,transphobic,2
"It is that these (jjjj) uses with pink-ceremony flag and with Avatar of Chinese cute, they are pro trans bots and you do not have to listen to them, block it and do not stop telling us what you want, sister. Here hemisphere to hemisphere, everything is feminist house.",transphobic,2
"Here is clear the »erase of women«, necessary due to trans marons who are the only menstruating or pregnant people who although they are females are not women.",transphobic,2
"I am writing the script of a movie. Starring a gypsy black transsexual woman who works at Open Arms collecting immigrants in the Mediterranean and whose father, former Franco's military, abused her. It will be a fucking shit but no one will have eggs to criticize it !!",transphobic,2
"Then, if a lesbian disgusts his penis, there all re happily and do not complain. Then a hetero disgusts his penis and it is because they disgust the trans. Stop breaking the balls, and let people live, crazy. They ask for respect and do not know how to respect the tastes of others 🙄",transphobic,2
He is a transpecie boy,transphobic,2
"Not to mention the psychological damage that causes them to put children who do not even have maturity and sufficient awareness of a subjective feeling of ""gender identity"" with zero scientific evidence, as well as there can be minors with hormonal treatments",transphobic,2
"I don't know why, I'm sure he has an abortion in the closet. Sister you were prostituta vip. By choice the trans that criticisms have no other. They do not give them work. Stop hating",transphobic,2
That gender identity right is not universal. And your subjective interpretation of what is discrimination without care.😎,transphobic,2
"When you think of gender laws, and inclusion thinks how to be feminnium football with the trans that for more hormones, they still lie the context of a man just who with Tetaa ...",transphobic,2
Nor do I know if silence the word trans because this has made me a lot of damage and I no longer know how to find myself in a safe space where I know 100% that I am not going to meet burradas like the ones I just read,transphobic,2
"The Hamilton helmet has the LGBT and trans flag drawn, for something lost.",transphobic,2
You saw hate the jojofans on top are all trans and things like this so I can't follow it because they immediately come out with things like Ay Terfs,transphobic,2
Or when they know that there was a transsexual reindeer and that is why the reindeer in front of them ran 😂😂,transphobic,2
Time to get trans,transphobic,2
"Imagine being transsexual, guy, how undecided will be?",transphobic,2
"Let's go back to the trans. They were born with penis and the male gender is imposed but they do not identify with that imposition. . I would tell you: Obviously, no one should impose how to live! So far we are fine. The contradiction arises when the genre that is imposed on women is identified!",transphobic,2
"Maric*nes, it is very good that you see trans attractive men and think about intimating with us but if you continue to make falcontrist sexual references unique and exclusively because it does not help much and we feel regularly regulate the truth.",transphobic,2
"One more push and you have trans trans, we can mark the day on the calendar and make you u. Birthday if you want",transphobic,2
The only good thing that Irene Montero is going to do is the trans law. As soon as I take it I am going to identify as a woman and I will make oppositions to Police for the fee of women with the physical tests of the woman. Long live Irene 👏👏,transphobic,2
"Debbie Hayton, transsexual and RU teacher says: ""Trans women are men- I am certainly, since I am the father of three children- while women are women.""",transphobic,2
"Inclusion of lesbians, gays, transsexuals. They have always been defended by feminism, but we are not willing to include the transgender, we feel it. I am not so good, or so silly as to give my vital space in favor of fetishist gentlemen who want to occupy our place",transphobic,2
"I am ""not defined"", give me waiter's work. Although it means leaving a woman, immigrant and dark complexion in unemployment.",transphobic,2
"1. The ""trans women"" are men. 2. The ""trans"" are women. I do not say it, Tortora, Thibodeau, Gray, among many other great names of human anatomy and physiology. Put to study",transphobic,2
"Women (women huh, not subject with costume) are a historically oppressed population (not trans them are not oppressed). Gender must be abolished but of course without a genre peoplecita as you run out of ""personality.""",transphobic,2
They are not real men xD are trans ceases to make them invisible,transphobic,2
"He has a black daughter, the complete pack. Surely it will be transsexual.",transphobic,2
What world will be translated expectations?,transphobic,2
"Nobody wants trans women to be in the radfem because they have an idea and a very different objective than that of radfems, transfminism wants to create more generos so that they all feel comfortable with their sexuality etc and the radfem wants to abolish the genre by Q through that +",transphobic,2
Because blacks see it as a convenience.,transphobic,2
"But it is trans, it has a woman's face 🤔",transphobic,2
I chaqua the transs hahahahaha,transphobic,2
"🚨🚨👁️👃👁️👉🇱🇷🌏Aquí is Michaels's very obvious penis while Bigmike dances to ""Do not believe me, just look"" sung by another transsexual, Bruno Mars, in the symbolism of blue and white stripes of Ellen like the temple From Epstein Island, my word.",transphobic,2
"I see them together and somewhat confuses me ... one with a very feminine pork face and the other with an ortho and amachado face, and I do not say it for that of the sub -only that says president of Venezuela and that bad languages. And Scandolos in Cucuta ,, of perika and scort trans ...",transphobic,2
You can sit when you get behind. Your mother has very big penis is a transsexual,transphobic,2
What if I like trans if they are beautiful like that of course ...?,transphobic,2
But I do not know . It must be that now there are no trans people who have a looool penis. Let's see if the ttansphobo is the tweet kid,transphobic,2
"Did you seriously said it? I don't think you are read and instructed. Reprobated, transgender women are men.",transphobic,2
is that there is a blonde who does not stop leaving and now thinks about the trans law saying that he will influence children to change sex/gender💀,transphobic,2
Hahahaha that triangulite in the legs would be covered by the güevas.,transphobic,2
Being trans is more accepted in society.,transphobic,2
"As a radical feminist, I think that a trans woman is a trans woman and that the purpose of her militancy and protest is her oppression discrimination because they are trans, not because they are women, I do not know if what I want to say is understood",transphobic,2
"1) Today 87 years ago, lawyers, whores, welders, bolleras and trans women vote.",transphobic,2
"Well exmootie, when you are trans or nb you let me know that I find out that you already know the asshole you thought",transphobic,2
"Trans men enter feminism. Of perverse nothing, feminism does not have to deal with everyone's problems, to help them is trans acitivism, but what is it? Always women having to take care of everyone's problems but are perverse?",transphobic,2
"Trans childhoods are violence. Literally a child playing with dolls is not in the wrong body, leave childhood to be childhood and your gender by the tail",transphobic,2
"""My fixed tweet allows me to accuse people trans with violating children."" Yes, you are a facade that likes to attack minorities. And leave me alone, which is apparently very small to a guy as machoro as you.",transphobic,2
"The vaginas that make trans women are not vaginas, it is not a hole that is manufactured that has to live the rest of their life opening with dilators since the body records it as a wound and naturally closes as any wound.",transphobic,2
"The amount of twets saying that this is transphobia, is it logical that a trans woman cannot play in female teams make them Chota God nobody is telling them that they are not women have tea",transphobic,2
"Are you operating to change sex is ""surgical castration"", but using hormone blockers and hormonal substitution therapy with minors is to strengthen your identity? Knowing that only 15% of children end up being transsexual?",transphobic,2
"What I believe. What do you think USDS? Many will insult me, but there it goes. The ideal government must establish conditions that allow people to consent to mutually interact and nothing else. For example, if an employer does not want to hire someone due to race or gender identity",transphobic,2
"What they call ""trans women"" not a man who wants to be a woman, who was born with a penis and 2 testicles. The woman has vagina and ovaries by birth. There are only men and women. The others is pure garbage of the subhuman species degenerative departure from sewers.",transphobic,2
"And is it going to fix all the thieves of the Ministrín party, the Zampón that its tourism is that of the trans? . You are garbage. Corrupt And what is worse you are the garbage you can.",transphobic,2
With everything that they put the cock less to the trans because they are going to leave 😆🤣🤮 but that the whole weight of the law falls to steal HDP,transphobic,2
"I do not understand the people who ask for trans quota, the only thing you imply is that they are so weak that they need the State's help at such a level that they force companies to hire them, in addition to giving a privilege to a certain group.",transphobic,2
"No, they are not women. They are trans women, being a woman and being trans women are totally different things and they need different things.",transphobic,2
I do not understand why the trans romanticize wanting to have menstrual periods when this shit is not ironically makes me want to be watched every 28 days of how bad I feel,transphobic,2
