text,category
A odeda mandan kunappi kandam vazhi maha duranthame ninne pole ullavar undayathaneda etavum valiya durantham,None-of-the-above
ഇത് കോഴിക്കോടൻ മാരുടെ വിജയം,None-of-the-above
Mumbail poyal ivarude thaനീ niram kaanamPaisa chodhichal koduthillel adikkukayum9 theri parayukayum cheyyum athuകൊണ്ട്  thanneya veruppu,Transphobic-derogation
Sreekandan nair അവരെ കളിയാക്കുന്നു എന്ന് എനിക്ക് തോന്നുന്നു,None-of-the-above
ayyeeeivanonnum naanam illeeeesnehikkunna aalinte munpil ingane okke abhiyachaal pooreeenthinaane publicine ingane kkaanikkunneee,Transphobic-derogation
Komalan gays onnum sheri alla Avarku nalla oru lyf kittila,Homophobic-derogation
Chechi ningalay polay ningal mathray ullu super topic ,None-of-the-above
aadhyam nadanna കുന്ദൻ ,Homophobic-derogation
Pink lamp thirumbi vandache,None-of-the-above
നശിച്ച ജന്തുക്കൾ നാണമില്ലേ ഇവർക്ക് പടച്ചോൻ നമ്മെ ഏവരെയും കാത്ത് രക്ഷിക്കട്ടെ അല്ലാഹുവേ ഇതിന്റെ പേരിൽ ഞങ്ങളെ ശിക്ഷിക്കല്ലേ നാഥാ അവർക്ക് മനസിലാക്കാനുള്ള ബോധം കൊടുക്ക് റബ്ബേ ,Homophobic-derogation
Ellathilum kanan nallathum athine parappikkanum oru Jadhi,None-of-the-above
ഓരോ സ്വവർഗനുരാഗിയുടെയും ജീവിതം അവസാനം ഇത്തരത്തിൽ ആണെന്ന് നിങ്ങൾ പിന്നെയും പിന്നെയും പറഞ്ഞു വെക്കുകയാണല്ലോ ഇത് മാറ്റാറായില്ലേ,Counter-speech
ഈ dransgenderസിൽ പലരും പൂർണമായും പുരുഷൻ മാർ തന്നെയാണ് പിന്നെന്തിനാണ് പെണ്ണാകുന്നത് എന്ന് മനസിലാകുന്നില്ല ,Transphobic-derogation
രാത്രിയിൽ കൊച്ചിയിൽ നടക്കുന്നത് കൊച്ചിക്കാർക്ക് മാത്രം അറിയാം മൈര്,None-of-the-above
Njan epozhokey parayanam ennu vicharicha karyangal,None-of-the-above
രണ്ടാണുങ്ങൾ തമ്മിൽ ലിപ് ലോക്ക് നടത്തിയപ്പോഴേക്കും പലർക്കും കുരു പൊട്ടിഇനീം കേരളത്തിലെ ഗേ ലിപ് ലോക്ക് വീഡിയോ ധാരാളം ഇറങ്ങണം പ്രണയം രണ്ട് പേർക്ക് ഇടയിലാണ് മൂന്നാമത്തെ ആൾ ചൊറിഞ്ഞിട്ട് കാര്യമില്ല,Counter-speech
Make up illankil pennine aanu pennu aayit thonnuka aaninu pennu aaknel makeup aavshyamanu,Transphobic-derogation
വിശേഷം വല്ലതും ആയാൽ പറയണേ,None-of-the-above
ശ്രീകണ്ടൻ ഇജ്‌ജാതി മണ്ടൻ,None-of-the-above
JITHEESH P J രണ്ടുപേരും നിൻറെ അച്ഛൻ ആണെന്ന് അറിഞ്ഞില്ല സോറി,None-of-the-above
