text,category,label
Pro please Boxing parnk part2                ,non-anti-LGBT,1
I was waiting for this to be released in theaters for so many years after watching this teams Interview in Behindwoods and finally Im happy now                ,non-anti-LGBT,1
I support ur rights but stop with the stupid abbreviations                ,non-anti-LGBT,1
real life movie is possible                ,non-anti-LGBT,1
Nice i really semtimented for that dance                ,non-anti-LGBT,1
Im crying about see this movie                  ,non-anti-LGBT,1
Bumble bee  tell me what change makes them to like gay Whats that change                ,non-anti-LGBT,1
it adhu but anaal really she has acted nicely great speech by malini                ,non-anti-LGBT,1
Dont hate thirunangai just love  like if u do that Jesus will bless all 4 sweden                ,non-anti-LGBT,1
Dear students you will come to school on Feb 1st 2021 the purpose of NOMINAL ROLE preparation regarding Without fail                ,non-anti-LGBT,1
Transgender actress Why this tag                ,non-anti-LGBT,1
Mani this is Asif nice to see your sincere thanks on screen your are always welcome call me as soon as possible for a discussion i lost ur number this is mine9791094468 waiting quite sad that u r not in any social media                ,non-anti-LGBT,1
Please put another live video bro                ,non-anti-LGBT,1
Anybody Madurai please give number                ,non-anti-LGBT,1
But does hindhuism really forbid homosexuality  I feel like its more Our society that hides behind the religion to covey their own opinions  I feel like Hinduism is really inclusive                ,non-anti-LGBT,1
We support you Sister You are an inspiration for others                ,non-anti-LGBT,1
I am waiting part 2 this video                ,non-anti-LGBT,1
Its just my view about this topic I agree all the things u told about science psychology religion and taught process of homosexual ppl All these things start at the same point as of my knowledge bcoz a persons gene hav all the activities of their ancestors which includes everything like knowledge artsdisease physical appearance etc If we travel back to some 1000s of yrs back i wont be an issue with gene instead as psychology say it might be a practice of ppl living b4 which got into the gene and now its termed as the genetical change I will not share my opinion as right or wrong abt this but i feel like this is not natural in early days which is natural Thr was a genetical change happened due to the practice of thr ppl living long b4  Thats all abt it                ,non-anti-LGBT,1
042  I bet you arent a Tamil  If its required for the society of your state then will ya let your sister to marry her gf  Leave Tamils n Tamil Nadu from your north culture                ,non-anti-LGBT,1
u are really great man u sacrificed ur own life for ur mom and family               ,non-anti-LGBT,1
Good appreciate u for saying in public                ,non-anti-LGBT,1
True soul amma neegau deserve a great salute and hug she really made me cry                ,non-anti-LGBT,1
What a such a girl she is god                 ,non-anti-LGBT,1
Bro super acting                ,non-anti-LGBT,1
My point of view indian cultures not accept for this life but super story                ,non-anti-LGBT,1
Bro I want my share                ,non-anti-LGBT,1
This is satanic decision BJP is destroying our people I mean Tamillan                ,homophobic,0
robert pavey they never asked heterosexuals to be homosexuals  they fought for their rights  anti gay rule was Imposed by British                 ,non-anti-LGBT,1
Really pertastic bro at shop                ,non-anti-LGBT,1
Shrinivasan Kannan  societies what society we r the society so I accept that relationship when you will change some time so society will accept lesbian gay bisexual transgender                ,non-anti-LGBT,1
vasim asaraf I think ur name say that u r muslim And the number 4 also proves it K yes u can marry 4 women if they are ok with it I have no problem Unless its not forced u can do it Bt does ur Islam allow women to marry four man This is the question If I marry four man then dont ask me Leave marrying four men lol if girl is in relationship with more than one guy Ur language has very beautiful words Whn religion condemned polygamy for men lol They have all freedom to marry how many they want It was IPC that made a law for monogamy In Tamil Nadu only great grand fathers were getting married to multiple woman                ,non-anti-LGBT,1
Hamelton Melvin   thank you so much dudeand in comming your futureyou will get long happy live and full enjoyment Keep goingyou are a  good personso congratulations for your happy life                ,non-anti-LGBT,1
Go to hell                ,homophobic,0
Good thoughts Nice Akka I have to meet you once in my life Respect u to the core                 ,non-anti-LGBT,1
Society is celebrating IPC 377 decriminalisation where intercaste marriage is still a taboo                ,non-anti-LGBT,1
I too feel the same Her shyness is cute                ,non-anti-LGBT,1
Yehu r correct                ,non-anti-LGBT,1
Seriously hats off                ,non-anti-LGBT,1
Then dont use Mobile phones transport system etc  Because all these are against nature  Causing damage to nature               ,non-anti-LGBT,1
Ihsan Ahmeth  super dude  Thanks                ,non-anti-LGBT,1
Super bro nalla video she is very pure hearted person                ,non-anti-LGBT,1
1003 that moment when he said ENNAIYA porutha alavuku  proved he is pakka Maduraijust a guess                ,non-anti-LGBT,1
George Shankar  heythere is Nhng prblm in giving a replyand coming to ur question as long as my acts or words do not affect u in any wayI m gudthis is my concept of being gdand I dont thinkmuch Beyond iti feel there is nothing wrong in praising ur gd side to others and at the same time giving others a chance to pointing our bad side is also acceptable Thanksfor u valuable cmnt                ,non-anti-LGBT,1
Your Speech                 ,non-anti-LGBT,1
facts that she pointing out made me watch till the end sorry i have Yoda english                ,non-anti-LGBT,1
Support to Lgbtq community and humanity                ,non-anti-LGBT,1
Green revolution in India                ,non-anti-LGBT,1
I like this sister because the sister is loveble person                ,non-anti-LGBT,1
More movies needed like this in tamil cinema industry                ,non-anti-LGBT,1
