text,category,label
A odeda mandan kunappi kandam vazhi maha duranthame ninne pole ullavar undayathaneda etavum valiya durantham,non-anti-LGBT,1
ഇത് കോഴിക്കോടൻ മാരുടെ വിജയം,non-anti-LGBT,1
Mumbail poyal ivarude thaനീ niram kaanamPaisa chodhichal koduthillel adikkukayum9 theri parayukayum cheyyum athuകൊണ്ട്  thanneya veruppu,transphobic,2
Sreekandan nair അവരെ കളിയാക്കുന്നു എന്ന് എനിക്ക് തോന്നുന്നു,non-anti-LGBT,1
ayyeeeivanonnum naanam illeeeesnehikkunna aalinte munpil ingane okke abhiyachaal pooreeenthinaane publicine ingane kkaanikkunneee,transphobic,2
Komalan gays onnum sheri alla Avarku nalla oru lyf kittila,homophobic,0
Chechi ningalay polay ningal mathray ullu super topic ,non-anti-LGBT,1
aadhyam nadanna കുന്ദൻ ,homophobic,0
Pink lamp thirumbi vandache,non-anti-LGBT,1
നശിച്ച ജന്തുക്കൾ നാണമില്ലേ ഇവർക്ക് പടച്ചോൻ നമ്മെ ഏവരെയും കാത്ത് രക്ഷിക്കട്ടെ അല്ലാഹുവേ ഇതിന്റെ പേരിൽ ഞങ്ങളെ ശിക്ഷിക്കല്ലേ നാഥാ അവർക്ക് മനസിലാക്കാനുള്ള ബോധം കൊടുക്ക് റബ്ബേ ,homophobic,0
Ellathilum kanan nallathum athine parappikkanum oru Jadhi,non-anti-LGBT,1
ഓരോ സ്വവർഗനുരാഗിയുടെയും ജീവിതം അവസാനം ഇത്തരത്തിൽ ആണെന്ന് നിങ്ങൾ പിന്നെയും പിന്നെയും പറഞ്ഞു വെക്കുകയാണല്ലോ ഇത് മാറ്റാറായില്ലേ,non-anti-LGBT,1
ഈ dransgenderസിൽ പലരും പൂർണമായും പുരുഷൻ മാർ തന്നെയാണ് പിന്നെന്തിനാണ് പെണ്ണാകുന്നത് എന്ന് മനസിലാകുന്നില്ല ,transphobic,2
രാത്രിയിൽ കൊച്ചിയിൽ നടക്കുന്നത് കൊച്ചിക്കാർക്ക് മാത്രം അറിയാം മൈര്,non-anti-LGBT,1
Njan epozhokey parayanam ennu vicharicha karyangal,non-anti-LGBT,1
