text,category,label
Pro please Boxing parnk part2                ,hope-speech,3
I was waiting for this to be released in theaters for so many years after watching this teams Interview in Behindwoods and finally Im happy now                ,none-of-the-categories,4
I support ur rights but stop with the stupid abbreviations                ,none-of-the-categories,4
real life movie is possible                ,none-of-the-categories,4
Nice i really semtimented for that dance                ,counter-speech,0
Im crying about see this movie                  ,none-of-the-categories,4
Bumble bee  tell me what change makes them to like gay Whats that change                ,none-of-the-categories,4
it adhu but anaal really she has acted nicely great speech by malini                ,none-of-the-categories,4
Dont hate thirunangai just love  like if u do that Jesus will bless all 4 sweden                ,counter-speech,0
Dear students you will come to school on Feb 1st 2021 the purpose of NOMINAL ROLE preparation regarding Without fail                ,none-of-the-categories,4
Transgender actress Why this tag                ,none-of-the-categories,4
Mani this is Asif nice to see your sincere thanks on screen your are always welcome call me as soon as possible for a discussion i lost ur number this is mine9791094468 waiting quite sad that u r not in any social media                ,none-of-the-categories,4
Please put another live video bro                ,none-of-the-categories,4
Anybody Madurai please give number                ,none-of-the-categories,4
But does hindhuism really forbid homosexuality  I feel like its more Our society that hides behind the religion to covey their own opinions  I feel like Hinduism is really inclusive                ,none-of-the-categories,4
We support you Sister You are an inspiration for others                ,hope-speech,3
I am waiting part 2 this video                ,hope-speech,3
Its just my view about this topic I agree all the things u told about science psychology religion and taught process of homosexual ppl All these things start at the same point as of my knowledge bcoz a persons gene hav all the activities of their ancestors which includes everything like knowledge artsdisease physical appearance etc If we travel back to some 1000s of yrs back i wont be an issue with gene instead as psychology say it might be a practice of ppl living b4 which got into the gene and now its termed as the genetical change I will not share my opinion as right or wrong abt this but i feel like this is not natural in early days which is natural Thr was a genetical change happened due to the practice of thr ppl living long b4  Thats all abt it                ,none-of-the-categories,4
042  I bet you arent a Tamil  If its required for the society of your state then will ya let your sister to marry her gf  Leave Tamils n Tamil Nadu from your north culture                ,none-of-the-categories,4
u are really great man u sacrificed ur own life for ur mom and family               ,none-of-the-categories,4
Good appreciate u for saying in public                ,none-of-the-categories,4
True soul amma neegau deserve a great salute and hug she really made me cry                ,none-of-the-categories,4
What a such a girl she is god                 ,none-of-the-categories,4
Bro super acting                ,hope-speech,3
My point of view indian cultures not accept for this life but super story                ,none-of-the-categories,4
Bro I want my share                ,none-of-the-categories,4
This is satanic decision BJP is destroying our people I mean Tamillan                ,homophobic-derogation,1
robert pavey they never asked heterosexuals to be homosexuals  they fought for their rights  anti gay rule was Imposed by British                 ,counter-speech,0
Really pertastic bro at shop                ,none-of-the-categories,4
Shrinivasan Kannan  societies what society we r the society so I accept that relationship when you will change some time so society will accept lesbian gay bisexual transgender                ,hope-speech,3
vasim asaraf I think ur name say that u r muslim And the number 4 also proves it K yes u can marry 4 women if they are ok with it I have no problem Unless its not forced u can do it Bt does ur Islam allow women to marry four man This is the question If I marry four man then dont ask me Leave marrying four men lol if girl is in relationship with more than one guy Ur language has very beautiful words Whn religion condemned polygamy for men lol They have all freedom to marry how many they want It was IPC that made a law for monogamy In Tamil Nadu only great grand fathers were getting married to multiple woman                ,none-of-the-categories,4
Hamelton Melvin   thank you so much dudeand in comming your futureyou will get long happy live and full enjoyment Keep goingyou are a  good personso congratulations for your happy life                ,none-of-the-categories,4
Go to hell                ,homophobic-derogation,1
Good thoughts Nice Akka I have to meet you once in my life Respect u to the core                 ,none-of-the-categories,4
Society is celebrating IPC 377 decriminalisation where intercaste marriage is still a taboo                ,none-of-the-categories,4
I too feel the same Her shyness is cute                ,none-of-the-categories,4
Yehu r correct                ,none-of-the-categories,4
Seriously hats off                ,none-of-the-categories,4
Then dont use Mobile phones transport system etc  Because all these are against nature  Causing damage to nature               ,none-of-the-categories,4
Ihsan Ahmeth  super dude  Thanks                ,none-of-the-categories,4
Super bro nalla video she is very pure hearted person                ,hope-speech,3
1003 that moment when he said ENNAIYA porutha alavuku  proved he is pakka Maduraijust a guess                ,none-of-the-categories,4
George Shankar  heythere is Nhng prblm in giving a replyand coming to ur question as long as my acts or words do not affect u in any wayI m gudthis is my concept of being gdand I dont thinkmuch Beyond iti feel there is nothing wrong in praising ur gd side to others and at the same time giving others a chance to pointing our bad side is also acceptable Thanksfor u valuable cmnt                ,none-of-the-categories,4
Your Speech                 ,none-of-the-categories,4
facts that she pointing out made me watch till the end sorry i have Yoda english                ,none-of-the-categories,4
Support to Lgbtq community and humanity                ,hope-speech,3
Green revolution in India                ,none-of-the-categories,4
I like this sister because the sister is loveble person                ,hope-speech,3
More movies needed like this in tamil cinema industry                ,none-of-the-categories,4
shinchan shinchan  Dont live by a book Even if you do its your choice dont force on others Understand and accept  humans for what they are  Dont blind yourself from the truth Just because something is different than what you are or what you know of doesnt mean it is wrong                ,counter-speech,0
She is look like serial actress                ,none-of-the-categories,4
The great video ever  from malaysian respect u brother  Realy its heart touching video  always respect tirunangai                 ,none-of-the-categories,4
Who r all here 2 to see d Tamil version of Harry potter                ,none-of-the-categories,4
Archana Shree what                ,none-of-the-categories,4
I support lgbt I love gay and lesbian people                ,homophobic-derogation,1
Really Good bro                ,hope-speech,3
Keep these kind of contents coming da                 ,none-of-the-categories,4
Gayathri RaGulkumar Then this video is a success                ,none-of-the-categories,4
She is great                 ,none-of-the-categories,4
Super l am coming OK Va ungalyku please send to message                ,none-of-the-categories,4
417 that is exactly correct                ,none-of-the-categories,4
I dont follow ur language but I jst feel the imortionsIm literally crying                ,hope-speech,3
Transgender are goodI love their character and their care                ,hope-speech,3
Anybody there is create gay whatsapp group please reply                ,none-of-the-categories,4
aneesh cool so u need change in law right Correct Even I told that law is favoring women and culture is favoring men Both should be changed U want change in law bt cant accept change in culture Now a change came Article 377 This change is boon for homosexual men And how many men are supporting it We dont need special women empowerment Leave the nonsensical social norms a woman will get empowered by herself                ,none-of-the-categories,4
Really touchingthat chlo saami hug uhlovable Carringlove u  akka                ,hope-speech,3
Pls tmp heart iam big big fan tell my star of the vidio my name aravindhan mjk                ,hope-speech,3
My kind advice if u want to make a film on LGBT community then make it perfectdont go with blind ideabring out the right feel and their intense feelingsthat will make u a good and true filmmakerall the very best                ,hope-speech,3
Even I am straight I support this we have to treat all as humans                ,counter-speech,0
Pavom that akka                ,none-of-the-categories,4
Super broi salute for this konsep and team                 ,hope-speech,3
Bro Vera level bro semma No words to tell               ,counter-speech,0
Who is she                ,none-of-the-categories,4
Why do these LGBT couples have to adopt children and screw up their minds too when you dont believe in natural selection and procedure of reproduction why go for children  Doesnt everything contradict here                ,none-of-the-categories,4
Really great bro                ,none-of-the-categories,4
Rombha boring bro please  make something  good                ,none-of-the-categories,4
Hats off for you                ,none-of-the-categories,4
If you pls share me the link                ,none-of-the-categories,4
Please add subtitles This needs international recognition                ,none-of-the-categories,4
madam malinitell me which religion history allow lgbt dont think when u overconfident  it all rightlook at ur attitudelook at the way you talkthat why lgbt seeing as too much                ,none-of-the-categories,4
When start tha prank                ,none-of-the-categories,4
Thankyou so much for your motivational speech you are a source of positivity and positive inspiration                ,hope-speech,3
I dont understand why are you in my recommended                ,none-of-the-categories,4
Kindly search homosexuality in animal kingdom in youtube go through Btw its not your fault you have been raised in that way                 ,none-of-the-categories,4
She Is So Beautiful   1106 Bonda Ma3 Iruka Ashiq                ,none-of-the-categories,4
I think people need to be educated well Even my mom supports homosexuality and their rights We are in no place to judge them I think people are being ridiculous by judging others                ,counter-speech,0
Now heavy gopal in chennai                ,none-of-the-categories,4
Please tell the details about the PUB                ,none-of-the-categories,4
very lively and lovedy  kannuu   i pray u become more stronger and stronger                ,hope-speech,3
Amma acting                  ,none-of-the-categories,4
Im tg nivetha part two pathutu answer pandren                ,counter-speech,0
Seriously i read the topic again and againTransgendercoz apdi theriyave ilaseriously so cute                ,none-of-the-categories,4
Bro speak about subash chandra bose                ,none-of-the-categories,4
God bless you everyone                ,hope-speech,3
She act like man who ever this she going to act like man                ,none-of-the-categories,4
Shoot him all Dust bin                ,homophobic-threatening,2
Nice to                 ,hope-speech,3
19 year old I am proud about Iam Bisexual               ,hope-speech,3
Really                  ,counter-speech,0
Anna pls speak about transgenderI am from Karnataka I am following u from so many days pls Anna its my hambal request                ,none-of-the-categories,4
Fully script story only                ,none-of-the-categories,4
what an altitude                ,none-of-the-categories,4
Priya S   answer this  if Satan punishes bad guys in kill then how can he be a bad guy                ,none-of-the-categories,4
Dislike people of this video are non humanityDoesnt have any eligible to live in the earth                ,homophobic-derogation,1
IN india how many of them folowing our culture all men wearing tshirt phant is this thing is our culture                 ,none-of-the-categories,4
Bro wating for part 2                ,none-of-the-categories,4
Love is Love And Everyone should be able to Marry their loved one irrespective of their gender under consent without any regret Genuine loving people are affected by poor closeminded peoples laws  1st  India already had Homosexuality in their Culture  2nd  British came ruled us and made the section 377 to ban Gay sex which obviously means  some Indians were gay at that time  3rd  British went back and Normalized Gay love and legalized Gay Marriage Here we are still holding on to their colonial era law and stigma around that they left behind as like English language Time is High to revive a Basic Human Right to Love and our Indian culture which also includes in itself LGBT community   PS You dont have to be Gaylesbian to voice out for LGBTQ rights just the way You dont have to be a Woman to supportvoice out for Womens rights                ,counter-speech,0
Hes exposed that place front of public                ,none-of-the-categories,4
They are doing making public fully damage                ,homophobic-threatening,2
Best ever hearted one Live long Happy in this world Huge Love Best carer                ,hope-speech,3
Because of society Then the problem is with us because we are part of the society                ,homophobic-derogation,1
U r so beautiful Katrina I love u so much and I accept u                ,none-of-the-categories,4
Prize the lord                ,none-of-the-categories,4
lol just leave I wont change my perception bcz in my clg life something like this happened to one my frnd I dont wont explain that so I wont support those butt fuckers                ,homophobic-derogation,1
HARI HARAN T  Ur watsapp number                ,none-of-the-categories,4
Nice comment Thanks for supporting LGBT people                ,none-of-the-categories,4
The judges is a wrong persons so judgement also wrong decisionSo we have to re appele supreme Court                ,homophobic-derogation,1
Very Proud of you madhan                ,none-of-the-categories,4
Thanks to Arun Reporter                ,none-of-the-categories,4
Waiting fr part 2 video                ,none-of-the-categories,4
NICE TOPIC I LIKE IT                ,none-of-the-categories,4
Make a video about laws of attraction                ,none-of-the-categories,4
Plz give any valuable gift to her True Heart                ,counter-speech,0
Im a pansexual person  I always wanna be like me and I like people not their GENDER                ,hope-speech,3
Self experience oh                ,none-of-the-categories,4
Really great  hattoffs                ,none-of-the-categories,4
Salute Best prank ever It gave a full respect on her                ,counter-speech,0
I love how Karthik family is so caring about Varun                ,none-of-the-categories,4
Malni the great salute                ,none-of-the-categories,4
Mohamed Ali  497 Its not okay fr me But as far as Ive read adultery can b used as a reason fr divorce so if my partner cheats me I would rather move out divorce rather than blackmailing them with the law As far as Ive understood about relationship a law isnt needed to hold a promise of monogamy                ,none-of-the-categories,4
How intelligent she is                ,none-of-the-categories,4
Truly good series happy to see it again n wow Lathif Character is Amazing n nice story We gays should be proud of this n awesome                ,none-of-the-categories,4
Anna Im crying because ur acting super anna                 ,hope-speech,3
It is easier for girls to talk openly about this topic than guys You will never get a true answer if you do public opinion in this topic  Most Muslims and Christians Sangi type Hindus less educatedexposed people and egoist males wont accept All they care about is progeny and populationIt takes a lot of emotional intelligenceEQ to  understand and care about human emotions living a false life false marriages divorces psychological issues suicides and depression                 ,counter-speech,0
I really salute to both                ,none-of-the-categories,4
Hi I am Joe Please contact    Whatsapp                ,none-of-the-categories,4
Dont cry pa                ,none-of-the-categories,4
Really  akka and Anna your are a great people                ,none-of-the-categories,4
shinchan shinchan  well said                ,none-of-the-categories,4
Thanks for making this movie                 ,none-of-the-categories,4
Labeo Rohita thanks bro                ,none-of-the-categories,4
Gay life very good                ,none-of-the-categories,4
I think its mental illness Go and consult doctor                ,homophobic-derogation,1
I am waiting for your second part                ,none-of-the-categories,4
Who cry when she dance for him Yes Im crying               ,none-of-the-categories,4
I am also waiting anna                 ,none-of-the-categories,4
who created the cell phone  is it natural  No  How can you say  natural  use God name                ,none-of-the-categories,4
Bible says a lot more But I dont think anyone amongst us lives word by word relating to bible And before quoting these verses that prick and blame others remember to remind yourself the most important verse from bible  love your neighbour as you love yourself                ,counter-speech,0
J Marie why  They r not going to harm others  they have to protect themselves from people like you                 ,counter-speech,0
This channel is so proud full this help many poor peaples and more tq s for all helps                ,counter-speech,0
stupids of the india                ,none-of-the-categories,4
Nancy jasmine  somighting standing straight for intercouse                ,none-of-the-categories,4
Some persons only did comments                ,none-of-the-categories,4
Unga channel la enoda first comment extraordinary work bro chanceless                ,counter-speech,0
ஐயோ over da  You should know the scientific reason behind iT               ,none-of-the-categories,4
We want to know about   great king cholan   sleep pharalasis unble to move whilr sleeping              ,none-of-the-categories,4
LGBT Communities of Chennai  There is more to the life stories of people from LGBT Communities They live among us Trying their best to carve out a life and identity for themselves in a society that is no so approving  Read about their life stories Inside Out  Exclusively          ,counter-speech,0
krishna kumar  It doesnt matter whether parents accept it or not Every soul in this world has rights to do what they like except illegal things Since IPC 377 has been abolished by our govt LGBT community has rights to express their love and they own respect too                ,counter-speech,0
377 Its not criminal offence its a dieasesHarmons problem                ,none-of-the-categories,4
Your are great                 ,none-of-the-categories,4
Part 2 next year                ,none-of-the-categories,4
