text                ,category
Pro please Boxing parnk part2                ,Hope-Speech
I was waiting for this to be released in theaters for so many years after watching this teams Interview in Behindwoods and finally Im happy now                ,None-of-the-above
I support ur rights but stop with the stupid abbreviations                ,None-of-the-above
real life movie is possible                ,None-of-the-above
Nice i really semtimented for that dance                ,Counter-speech
Im crying about see this movie                  ,None-of-the-above
Bumble bee  tell me what change makes them to like gay Whats that change                ,None-of-the-above
it adhu but anaal really she has acted nicely great speech by malini                ,None-of-the-above
Dont hate thirunangai just love  like if u do that Jesus will bless all 4 sweden                ,Counter-speech
Dear students you will come to school on Feb 1st 2021 the purpose of NOMINAL ROLE preparation regarding Without fail                ,None-of-the-above
Transgender actress Why this tag                ,None-of-the-above
Mani this is Asif nice to see your sincere thanks on screen your are always welcome call me as soon as possible for a discussion i lost ur number this is mine9791094468 waiting quite sad that u r not in any social media                ,None-of-the-above
Please put another live video bro                ,None-of-the-above
Anybody Madurai please give number                ,None-of-the-above
But does hindhuism really forbid homosexuality  I feel like its more Our society that hides behind the religion to covey their own opinions  I feel like Hinduism is really inclusive                ,None-of-the-above
We support you Sister You are an inspiration for others                ,Hope-Speech
I am waiting part 2 this video                ,Hope-Speech
Its just my view about this topic I agree all the things u told about science psychology religion and taught process of homosexual ppl All these things start at the same point as of my knowledge bcoz a persons gene hav all the activities of their ancestors which includes everything like knowledge artsdisease physical appearance etc If we travel back to some 1000s of yrs back i wont be an issue with gene instead as psychology say it might be a practice of ppl living b4 which got into the gene and now its termed as the genetical change I will not share my opinion as right or wrong abt this but i feel like this is not natural in early days which is natural Thr was a genetical change happened due to the practice of thr ppl living long b4  Thats all abt it                ,None-of-the-above
042  I bet you arent a Tamil  If its required for the society of your state then will ya let your sister to marry her gf  Leave Tamils n Tamil Nadu from your north culture                ,None-of-the-above
u are really great man u sacrificed ur own life for ur mom and family               ,None-of-the-above
Good appreciate u for saying in public                ,None-of-the-above
True soul amma neegau deserve a great salute and hug she really made me cry                ,None-of-the-above
What a such a girl she is god                 ,None-of-the-above
Bro super acting                ,Hope-Speech
My point of view indian cultures not accept for this life but super story                ,None-of-the-above
Bro I want my share                ,None-of-the-above
This is satanic decision BJP is destroying our people I mean Tamillan                ,Homophobic-derogation
robert pavey they never asked heterosexuals to be homosexuals  they fought for their rights  anti gay rule was Imposed by British                 ,Counter-speech
Really pertastic bro at shop                ,None-of-the-above
Shrinivasan Kannan  societies what society we r the society so I accept that relationship when you will change some time so society will accept lesbian gay bisexual transgender                ,Hope-Speech
vasim asaraf I think ur name say that u r muslim And the number 4 also proves it K yes u can marry 4 women if they are ok with it I have no problem Unless its not forced u can do it Bt does ur Islam allow women to marry four man This is the question If I marry four man then dont ask me Leave marrying four men lol if girl is in relationship with more than one guy Ur language has very beautiful words Whn religion condemned polygamy for men lol They have all freedom to marry how many they want It was IPC that made a law for monogamy In Tamil Nadu only great grand fathers were getting married to multiple woman                ,None-of-the-above
Hamelton Melvin   thank you so much dudeand in comming your futureyou will get long happy live and full enjoyment Keep goingyou are a  good personso congratulations for your happy life                ,None-of-the-above
Go to hell                ,Homophobic-derogation
Good thoughts Nice Akka I have to meet you once in my life Respect u to the core                 ,None-of-the-above
Society is celebrating IPC 377 decriminalisation where intercaste marriage is still a taboo                ,None-of-the-above
I too feel the same Her shyness is cute                ,None-of-the-above
Yehu r correct                ,None-of-the-above
Seriously hats off                ,None-of-the-above
Then dont use Mobile phones transport system etc  Because all these are against nature  Causing damage to nature               ,None-of-the-above
Ihsan Ahmeth  super dude  Thanks                ,None-of-the-above
Super bro nalla video she is very pure hearted person                ,Hope-Speech
1003 that moment when he said ENNAIYA porutha alavuku  proved he is pakka Maduraijust a guess                ,None-of-the-above
George Shankar  heythere is Nhng prblm in giving a replyand coming to ur question as long as my acts or words do not affect u in any wayI m gudthis is my concept of being gdand I dont thinkmuch Beyond iti feel there is nothing wrong in praising ur gd side to others and at the same time giving others a chance to pointing our bad side is also acceptable Thanksfor u valuable cmnt                ,None-of-the-above
Your Speech                 ,None-of-the-above
facts that she pointing out made me watch till the end sorry i have Yoda english                ,None-of-the-above
Support to Lgbtq community and humanity                ,Hope-Speech
Green revolution in India                ,None-of-the-above
I like this sister because the sister is loveble person                ,Hope-Speech
More movies needed like this in tamil cinema industry                ,None-of-the-above
shinchan shinchan  Dont live by a book Even if you do its your choice dont force on others Understand and accept  humans for what they are  Dont blind yourself from the truth Just because something is different than what you are or what you know of doesnt mean it is wrong                ,Counter-speech
She is look like serial actress                ,None-of-the-above
The great video ever  from malaysian respect u brother  Realy its heart touching video  always respect tirunangai                 ,None-of-the-above
Who r all here 2 to see d Tamil version of Harry potter                ,None-of-the-above
Archana Shree what                ,None-of-the-above
I support lgbt I love gay and lesbian people                ,Homophobic-derogation
Really Good bro                ,Hope-Speech
Keep these kind of contents coming da                 ,None-of-the-above
Gayathri RaGulkumar Then this video is a success                ,None-of-the-above
She is great                 ,None-of-the-above
Super l am coming OK Va ungalyku please send to message                ,None-of-the-above
417 that is exactly correct                ,None-of-the-above
I dont follow ur language but I jst feel the imortionsIm literally crying                ,Hope-Speech
Transgender are goodI love their character and their care                ,Hope-Speech
Anybody there is create gay whatsapp group please reply                ,None-of-the-above
aneesh cool so u need change in law right Correct Even I told that law is favoring women and culture is favoring men Both should be changed U want change in law bt cant accept change in culture Now a change came Article 377 This change is boon for homosexual men And how many men are supporting it We dont need special women empowerment Leave the nonsensical social norms a woman will get empowered by herself                ,None-of-the-above
Really touchingthat chlo saami hug uhlovable Carringlove u  akka                ,Hope-Speech
Pls tmp heart iam big big fan tell my star of the vidio my name aravindhan mjk                ,Hope-Speech
